user001@school.edu,User 1,teacher,100001,
user002@school.edu,User 2,teacher,100002,
user003@school.edu,User 3,teacher,100003,
user004@school.edu,User 4,teacher,100004,
user005@school.edu,User 5,teacher,100005,
user006@school.edu,User 6,teacher,100006,
user007@school.edu,User 7,teacher,100007,
user008@school.edu,User 8,teacher,100008,
user009@school.edu,User 9,teacher,100009,
user010@school.edu,User 10,teacher,100010,
user011@school.edu,User 11,teacher,100011,
user012@school.edu,User 12,teacher,100012,
user013@school.edu,User 13,teacher,100013,
user014@school.edu,User 14,teacher,100014,
user015@school.edu,User 15,teacher,100015,
user016@school.edu,User 16,teacher,100016,
user017@school.edu,User 17,teacher,100017,
user018@school.edu,User 18,teacher,100018,
user019@school.edu,User 19,teacher,100019,
user020@school.edu,User 20,teacher,100020,
user021@school.edu,User 21,teacher,100021,
user022@school.edu,User 22,teacher,100022,
user023@school.edu,User 23,teacher,100023,
user024@school.edu,User 24,teacher,100024,
user025@school.edu,User 25,teacher,100025,
user026@school.edu,User 26,teacher,100026,
user027@school.edu,User 27,teacher,100027,
user028@school.edu,User 28,teacher,100028,
user029@school.edu,User 29,teacher,100029,
user030@school.edu,User 30,teacher,100030,
user031@school.edu,User 31,teacher,100031,
user032@school.edu,User 32,teacher,100032,
user033@school.edu,User 33,teacher,100033,
user034@school.edu,User 34,teacher,100034,
user035@school.edu,User 35,teacher,100035,
user036@school.edu,User 36,teacher,100036,
user037@school.edu,User 37,teacher,100037,
user038@school.edu,User 38,teacher,100038,
user039@school.edu,User 39,teacher,100039,
user040@school.edu,User 40,teacher,100040,
user041@school.edu,User 41,teacher,100041,
user042@school.edu,User 42,teacher,100042,
user043@school.edu,User 43,teacher,100043,
user044@school.edu,User 44,teacher,100044,
user045@school.edu,User 45,teacher,100045,
user046@school.edu,User 46,case_manager,100046,
user047@school.edu,User 47,case_manager,100047,
user048@school.edu,User 48,case_manager,100048,
user049@school.edu,User 49,case_manager,100049,
user050@school.edu,User 50,case_manager,100050,
user051@school.edu,User 51,sped_chair,100051,
user052@school.edu,User 52,administrator_504_CM,100052,
user053@school.edu,User 53,paraeducator,100053,
user054@school.edu,User 54,paraeducator,100054,
user055@school.edu,User 55,paraeducator,100055,
user056@school.edu,User 56,paraeducator,100056,
user057@school.edu,User 57,paraeducator,100057,
user058@school.edu,User 58,paraeducator,100058,
user059@school.edu,User 59,paraeducator,100059,
user060@school.edu,User 60,paraeducator,100060,
user061@school.edu,User 61,service_provider,100061,TR
user062@school.edu,User 62,service_provider,100062,AUD
user063@school.edu,User 63,service_provider,100063,VI
user064@school.edu,User 64,service_provider,100064,AT
user065@school.edu,User 65,service_provider,100065,DHH
user066@school.edu,User 66,service_provider,100066,O&M
user067@school.edu,User 67,service_provider,100067,BIS
user068@school.edu,User 68,service_provider,100068,HN
user069@school.edu,User 69,service_provider,100069,SW
user070@school.edu,User 70,service_provider,100070,SLP
user071@school.edu,User 71,service_provider,100071,OT
user072@school.edu,User 72,service_provider,100072,MH
user073@school.edu,User 73,service_provider,100073,PT
user074@school.edu,User 74,service_provider,100074,SC
user075@school.edu,User 75,service_provider,100075,TR
user076@school.edu,User 76,service_provider,100076,AUD
